Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
BEL,29/03/2014,19:00,KV Kortrijk,Cercle Brugge,4,0,H,1,0,H
BEL,30/03/2014,19:30,KV Mechelen,Sporting Charleroi,0,2,A,0,0,D
BEL,05/04/2014,17:00,Cercle Brugge,KV Mechelen,0,1,A,0,1,A
BEL,05/04/2014,19:00,Sporting Charleroi,KV Kortrijk,1,1,D,0,1,A
BEL,12/04/2014,19:00,Cercle Brugge,Sporting Charleroi,2,4,A,1,3,A
BEL,12/04/2014,19:00,KV Kortrijk,KV Mechelen,4,1,H,0,0,D
BEL,19/04/2014,19:00,Sporting Charleroi,Cercle Brugge,2,0,H,0,0,D
BEL,19/04/2014,19:00,KV Mechelen,KV Kortrijk,2,1,H,2,0,H
BEL,26/04/2014,19:00,Cercle Brugge,KV Kortrijk,0,4,A,0,2,A
BEL,26/04/2014,19:00,Sporting Charleroi,KV Mechelen,3,0,H,1,0,H
BEL,03/05/2014,19:00,KV Kortrijk,Sporting Charleroi,2,1,H,1,0,H
BEL,03/05/2014,19:00,KV Mechelen,Cercle Brugge,2,0,H,1,0,H
