Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
ISR,18/03/2017,14:00,Ironi Kiryat Shmona,Hapoel Tel Aviv,2,3,A,1,1,D
ISR,18/03/2017,16:00,Hapoel Haifa,Hapoel Ashkelon,1,4,A,1,1,D
ISR,19/03/2017,17:00,Hapoel Ra'anana,Bnei Yehuda Tel Aviv,0,2,A,0,0,D
ISR,20/03/2017,18:30,FC Ashdod,Hapoel Kfar Saba,0,0,D,0,0,D
ISR,01/04/2017,16:00,Hapoel Tel Aviv,Bnei Yehuda Tel Aviv,2,0,H,1,0,H
ISR,01/04/2017,16:00,Ironi Kiryat Shmona,Hapoel Haifa,0,2,A,0,1,A
ISR,02/04/2017,18:15,Hapoel Kfar Saba,Hapoel Ra'anana,0,2,A,0,2,A
ISR,03/04/2017,18:30,Hapoel Ashkelon,FC Ashdod,0,0,D,0,0,D
ISR,08/04/2017,14:00,Hapoel Haifa,Hapoel Tel Aviv,3,3,D,2,2,D
ISR,08/04/2017,16:00,Hapoel Ra'anana,Hapoel Ashkelon,0,2,A,0,2,A
ISR,08/04/2017,16:15,Bnei Yehuda Tel Aviv,Hapoel Kfar Saba,1,0,H,0,0,D
ISR,09/04/2017,17:00,FC Ashdod,Ironi Kiryat Shmona,1,1,D,0,0,D
ISR,22/04/2017,15:15,Hapoel Ashkelon,Bnei Yehuda Tel Aviv,1,0,H,0,0,D
ISR,22/04/2017,16:00,Hapoel Haifa,FC Ashdod,1,1,D,0,1,A
ISR,22/04/2017,18:15,Ironi Kiryat Shmona,Hapoel Ra'anana,2,3,A,1,1,D
ISR,24/04/2017,19:00,Hapoel Tel Aviv,Hapoel Kfar Saba,2,0,H,2,0,H
ISR,27/04/2017,17:30,Hapoel Ra'anana,Hapoel Haifa,0,2,A,0,0,D
ISR,27/04/2017,17:30,Bnei Yehuda Tel Aviv,Ironi Kiryat Shmona,0,2,A,0,0,D
ISR,29/04/2017,15:45,FC Ashdod,Hapoel Tel Aviv,2,0,H,0,0,D
ISR,29/04/2017,15:45,Hapoel Kfar Saba,Hapoel Ashkelon,1,0,H,0,0,D
ISR,06/05/2017,17:00,Hapoel Tel Aviv,Hapoel Ashkelon,0,0,D,0,0,D
ISR,06/05/2017,17:00,Ironi Kiryat Shmona,Hapoel Kfar Saba,1,4,A,0,3,A
ISR,06/05/2017,17:00,Hapoel Haifa,Bnei Yehuda Tel Aviv,1,1,D,0,0,D
ISR,06/05/2017,17:00,FC Ashdod,Hapoel Ra'anana,2,2,D,1,2,A
ISR,13/05/2017,18:30,Hapoel Ra'anana,Hapoel Tel Aviv,1,1,D,0,0,D
ISR,13/05/2017,18:30,Bnei Yehuda Tel Aviv,FC Ashdod,2,1,H,1,1,D
ISR,13/05/2017,18:30,Hapoel Kfar Saba,Hapoel Haifa,1,0,H,1,0,H
ISR,13/05/2017,18:30,Hapoel Ashkelon,Ironi Kiryat Shmona,2,1,H,1,1,D
