Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
GRE,28/04/2010,14:45,AEK Athen,PAOK Saloniki,0,0,D,0,0,D
GRE,28/04/2010,17:00,Aris Saloniki,Olympiakos Piräus,2,0,H,1,0,H
GRE,02/05/2010,17:00,Olympiakos Piräus,AEK Athen,2,1,H,2,1,H
GRE,02/05/2010,19:15,PAOK Saloniki,Aris Saloniki,2,0,H,2,0,H
GRE,09/05/2010,14:45,AEK Athen,Aris Saloniki,4,2,H,1,0,H
GRE,09/05/2010,17:00,PAOK Saloniki,Olympiakos Piräus,1,0,H,1,0,H
GRE,12/05/2010,14:45,Olympiakos Piräus,PAOK Saloniki,0,1,A,0,1,A
GRE,12/05/2010,17:00,Aris Saloniki,AEK Athen,1,1,D,0,0,D
GRE,16/05/2010,17:00,Olympiakos Piräus,Aris Saloniki,0,0,D,0,0,D
GRE,16/05/2010,19:15,PAOK Saloniki,AEK Athen,1,0,H,0,0,D
GRE,19/05/2010,19:15,AEK Athen,Olympiakos Piräus,2,1,H,1,1,D
GRE,19/05/2010,19:15,Aris Saloniki,PAOK Saloniki,3,2,H,2,2,D
