Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
POL,2015-05-08,19:30,Jagiellonia Białystok,Śląsk Wrocław,1,1,D,0,0,D
POL,2015-05-09,14:30,Legia Warszawa,Lech Poznań,1,2,A,0,0,D
POL,2015-05-09,17:00,Pogoń Szczecin,Lechia Gdańsk,1,3,A,1,0,H
POL,2015-05-09,19:30,Wisła Kraków,Górnik Zabrze,4,1,H,1,1,D
POL,2015-05-15,19:30,Lechia Gdańsk,Wisła Kraków,2,2,D,1,0,H
POL,2015-05-17,14:30,Górnik Zabrze,Pogoń Szczecin,2,0,H,0,0,D
POL,2015-05-17,14:30,Lech Poznań,Jagiellonia Białystok,1,3,A,0,0,D
POL,2015-05-17,17:00,Śląsk Wrocław,Legia Warszawa,1,1,D,1,1,D
POL,2015-05-20,17:00,Górnik Zabrze,Lechia Gdańsk,0,1,A,0,0,D
POL,2015-05-20,17:00,Lech Poznań,Śląsk Wrocław,3,0,H,3,0,H
POL,2015-05-20,19:30,Legia Warszawa,Jagiellonia Białystok,1,0,H,0,0,D
POL,2015-05-20,19:30,Wisła Kraków,Pogoń Szczecin,2,2,D,1,0,H
POL,2015-05-23,14:30,Śląsk Wrocław,Górnik Zabrze,1,1,D,0,0,D
POL,2015-05-23,17:00,Pogoń Szczecin,Legia Warszawa,0,1,A,0,0,D
POL,2015-05-23,19:30,Jagiellonia Białystok,Wisła Kraków,2,1,H,0,1,A
POL,2015-05-24,17:00,Lechia Gdańsk,Lech Poznań,1,2,A,0,1,A
POL,2015-05-30,19:30,Śląsk Wrocław,Lechia Gdańsk,1,0,H,0,0,D
POL,2015-05-31,14:30,Jagiellonia Białystok,Górnik Zabrze,3,2,H,2,1,H
POL,2015-05-31,14:30,Legia Warszawa,Wisła Kraków,1,0,H,0,0,D
POL,2015-05-31,17:00,Lech Poznań,Pogoń Szczecin,1,0,H,1,0,H
POL,2015-06-03,19:30,Górnik Zabrze,Lech Poznań,1,6,A,1,4,A
POL,2015-06-03,19:30,Lechia Gdańsk,Legia Warszawa,0,0,D,0,0,D
POL,2015-06-03,19:30,Pogoń Szczecin,Jagiellonia Białystok,1,3,A,0,2,A
POL,2015-06-03,19:30,Wisła Kraków,Śląsk Wrocław,0,1,A,0,0,D
POL,2015-06-07,17:00,Jagiellonia Białystok,Lechia Gdańsk,4,2,H,0,1,A
POL,2015-06-07,17:00,Lech Poznań,Wisła Kraków,0,0,D,0,0,D
POL,2015-06-07,17:00,Legia Warszawa,Górnik Zabrze,2,0,H,1,0,H
POL,2015-06-07,17:00,Śląsk Wrocław,Pogoń Szczecin,2,1,H,1,0,H
