Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
CYP,2013-04-06,14:30,Omonia Nikosia,APOEL Nikosia,3,0,H,1,0,H
CYP,2013-04-06,14:30,Anorthosis Famagusta FC,AEK Larnaca,0,3,A,0,1,A
CYP,2013-04-13,14:30,APOEL Nikosia,Anorthosis Famagusta FC,0,0,D,0,0,D
CYP,2013-04-13,14:30,AEK Larnaca,Omonia Nikosia,0,2,A,0,2,A
CYP,2013-04-20,15:00,Anorthosis Famagusta FC,Omonia Nikosia,0,0,D,0,0,D
CYP,2013-04-21,15:00,AEK Larnaca,APOEL Nikosia,0,1,A,0,0,D
CYP,2013-04-27,15:00,APOEL Nikosia,AEK Larnaca,0,1,A,0,0,D
CYP,2013-04-28,15:00,Omonia Nikosia,Anorthosis Famagusta FC,4,0,H,1,0,H
CYP,2013-05-12,16:00,APOEL Nikosia,Omonia Nikosia,4,3,H,1,1,D
CYP,2013-05-12,16:00,AEK Larnaca,Anorthosis Famagusta FC,0,1,A,0,1,A
CYP,2013-05-18,15:00,Anorthosis Famagusta FC,APOEL Nikosia,2,1,H,1,0,H
CYP,2013-05-18,15:00,Omonia Nikosia,AEK Larnaca,3,1,H,2,1,H
