Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SUI,29/02/1992,16:30,FC Locarno,FC Aarau,0,1,A,NaN,NaN,NaN
SUI,29/02/1992,16:30,FC Baden,FC Lugano,0,2,A,NaN,NaN,NaN
SUI,01/03/1992,13:30,FC Basel,Yverdon-Sport FC,1,1,D,NaN,NaN,NaN
SUI,01/03/1992,13:30,FC Malley,AC Bellinzona,4,1,H,NaN,NaN,NaN
SUI,08/03/1992,13:30,FC Aarau,FC Basel,0,0,D,NaN,NaN,NaN
SUI,08/03/1992,13:30,AC Bellinzona,FC Baden,1,3,A,NaN,NaN,NaN
SUI,08/03/1992,13:30,Yverdon-Sport FC,FC Locarno,1,1,D,NaN,NaN,NaN
SUI,08/03/1992,13:30,FC Lugano,FC Malley,1,0,H,NaN,NaN,NaN
SUI,15/03/1992,13:30,FC Malley,FC Aarau,1,1,D,NaN,NaN,NaN
SUI,15/03/1992,13:30,FC Basel,FC Lugano,2,2,D,NaN,NaN,NaN
SUI,15/03/1992,13:30,FC Baden,Yverdon-Sport FC,0,0,D,NaN,NaN,NaN
SUI,15/03/1992,13:30,FC Locarno,AC Bellinzona,1,0,H,NaN,NaN,NaN
SUI,21/03/1992,16:30,FC Aarau,FC Baden,0,0,D,NaN,NaN,NaN
SUI,22/03/1992,13:30,AC Bellinzona,FC Basel,2,1,H,NaN,NaN,NaN
SUI,22/03/1992,13:30,FC Lugano,FC Locarno,1,0,H,NaN,NaN,NaN
SUI,22/03/1992,13:30,Yverdon-Sport FC,FC Malley,2,1,H,NaN,NaN,NaN
SUI,04/04/1992,16:30,FC Basel,FC Baden,3,3,D,NaN,NaN,NaN
SUI,04/04/1992,16:30,AC Bellinzona,Yverdon-Sport FC,1,4,A,NaN,NaN,NaN
SUI,04/04/1992,16:30,FC Malley,FC Locarno,5,2,H,NaN,NaN,NaN
SUI,12/05/1992,19:00,FC Lugano,FC Aarau,0,0,D,NaN,NaN,NaN
SUI,07/04/1992,19:00,Yverdon-Sport FC,FC Lugano,2,2,D,NaN,NaN,NaN
SUI,08/04/1992,19:00,FC Aarau,AC Bellinzona,2,0,H,NaN,NaN,NaN
SUI,08/04/1992,19:00,FC Baden,FC Malley,0,0,D,NaN,NaN,NaN
SUI,08/04/1992,19:00,FC Locarno,FC Basel,3,0,H,NaN,NaN,NaN
SUI,11/04/1992,16:30,Yverdon-Sport FC,FC Aarau,1,1,D,NaN,NaN,NaN
SUI,11/04/1992,16:30,FC Malley,FC Basel,0,2,A,NaN,NaN,NaN
SUI,11/04/1992,16:30,FC Baden,FC Locarno,1,1,D,NaN,NaN,NaN
SUI,11/04/1992,19:00,AC Bellinzona,FC Lugano,0,0,D,NaN,NaN,NaN
SUI,20/04/1992,13:30,FC Basel,FC Malley,1,0,H,NaN,NaN,NaN
SUI,20/04/1992,13:30,FC Locarno,FC Baden,0,0,D,NaN,NaN,NaN
SUI,20/04/1992,16:30,FC Aarau,Yverdon-Sport FC,2,3,A,NaN,NaN,NaN
SUI,21/04/1992,19:00,FC Lugano,AC Bellinzona,2,1,H,NaN,NaN,NaN
SUI,25/04/1992,16:30,FC Basel,FC Locarno,2,2,D,NaN,NaN,NaN
SUI,25/04/1992,16:30,FC Malley,FC Baden,2,2,D,NaN,NaN,NaN
SUI,25/04/1992,19:00,AC Bellinzona,FC Aarau,2,3,A,NaN,NaN,NaN
SUI,25/04/1992,19:00,FC Lugano,Yverdon-Sport FC,2,0,H,NaN,NaN,NaN
SUI,02/05/1992,16:30,FC Aarau,FC Lugano,0,3,A,NaN,NaN,NaN
SUI,02/05/1992,16:30,Yverdon-Sport FC,AC Bellinzona,2,1,H,NaN,NaN,NaN
SUI,02/05/1992,19:00,FC Baden,FC Basel,2,1,H,NaN,NaN,NaN
SUI,02/05/1992,19:00,FC Locarno,FC Malley,6,0,H,NaN,NaN,NaN
SUI,09/05/1992,16:30,FC Malley,Yverdon-Sport FC,0,0,D,NaN,NaN,NaN
SUI,09/05/1992,19:00,FC Basel,AC Bellinzona,2,1,H,NaN,NaN,NaN
SUI,09/05/1992,19:00,FC Baden,FC Aarau,0,1,A,NaN,NaN,NaN
SUI,09/05/1992,19:00,FC Locarno,FC Lugano,1,2,A,NaN,NaN,NaN
SUI,16/05/1992,16:30,FC Aarau,FC Malley,4,1,H,NaN,NaN,NaN
SUI,16/05/1992,19:00,FC Lugano,FC Basel,1,1,D,NaN,NaN,NaN
SUI,16/05/1992,19:00,Yverdon-Sport FC,FC Baden,3,1,H,NaN,NaN,NaN
SUI,16/05/1992,19:00,AC Bellinzona,FC Locarno,1,0,H,NaN,NaN,NaN
SUI,23/05/1992,19:00,FC Basel,FC Aarau,2,4,A,NaN,NaN,NaN
SUI,23/05/1992,19:00,FC Baden,AC Bellinzona,1,1,D,NaN,NaN,NaN
SUI,23/05/1992,19:00,FC Locarno,Yverdon-Sport FC,2,4,A,NaN,NaN,NaN
SUI,23/05/1992,19:00,FC Malley,FC Lugano,0,6,A,NaN,NaN,NaN
SUI,30/05/1992,19:00,FC Aarau,FC Locarno,1,0,H,NaN,NaN,NaN
SUI,30/05/1992,19:00,Yverdon-Sport FC,FC Basel,1,2,A,NaN,NaN,NaN
SUI,30/05/1992,19:00,FC Lugano,FC Baden,1,1,D,NaN,NaN,NaN
SUI,30/05/1992,19:00,AC Bellinzona,FC Malley,2,4,A,NaN,NaN,NaN
