Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
ESP,2000-09-09,,Real Zaragoza,Espanyol Barcelona,1,2,A,0,0,D
ESP,2000-09-09,,Real Madrid,Valencia CF,2,1,H,0,0,D
ESP,2000-09-09,,FC Barcelona,Málaga CF,2,1,H,2,0,H
ESP,2000-09-09,,Deportivo La Coruña,Athletic Bilbao,2,0,H,0,0,D
ESP,2000-09-09,,Real Sociedad,Racing Santander,2,2,D,0,0,D
ESP,2000-09-10,,Villarreal CF,Rayo Vallecano,1,5,A,0,3,A
ESP,2000-09-10,,UD Las Palmas,CD Alavés,0,3,A,0,1,A
ESP,2000-09-10,,CD Numancia,Real Oviedo,1,0,H,0,0,D
ESP,2000-09-10,,RCD Mallorca,Real Valladolid,1,1,D,1,0,H
ESP,2000-09-10,,CA Osasuna,Celta Vigo,0,2,A,0,0,D
ESP,2000-09-16,,Racing Santander,Deportivo La Coruña,0,3,A,0,1,A
ESP,2000-09-16,,Athletic Bilbao,FC Barcelona,3,1,H,1,1,D
ESP,2000-09-16,,Málaga CF,Real Madrid,3,3,D,1,1,D
ESP,2000-09-16,,Valencia CF,RCD Mallorca,4,0,H,1,0,H
ESP,2000-09-16,,Real Valladolid,CD Numancia,2,0,H,1,0,H
ESP,2000-09-17,,Espanyol Barcelona,CA Osasuna,1,2,A,0,0,D
ESP,2000-09-17,,Real Oviedo,UD Las Palmas,2,2,D,0,1,A
ESP,2000-09-17,,Rayo Vallecano,Real Zaragoza,0,0,D,0,0,D
ESP,2000-09-17,,Celta Vigo,Real Sociedad,4,1,H,3,0,H
ESP,2000-09-17,,CD Alavés,Villarreal CF,0,1,A,0,0,D
ESP,2000-09-23,,Real Sociedad,Deportivo La Coruña,1,1,D,1,0,H
ESP,2000-09-23,,FC Barcelona,Racing Santander,3,1,H,1,0,H
ESP,2000-09-23,,Real Madrid,Athletic Bilbao,4,1,H,2,0,H
ESP,2000-09-23,,UD Las Palmas,Real Valladolid,1,1,D,0,1,A
ESP,2000-09-23,,Real Zaragoza,CD Alavés,2,2,D,1,2,A
ESP,2000-09-24,,RCD Mallorca,Málaga CF,0,1,A,0,0,D
ESP,2000-09-24,,CA Osasuna,Rayo Vallecano,2,2,D,1,1,D
ESP,2000-09-24,,Celta Vigo,Espanyol Barcelona,1,0,H,1,0,H
ESP,2000-09-24,,CD Numancia,Valencia CF,0,3,A,0,0,D
