Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
ISR,2010-04-17,15:00,Hapoel Haifa,Maccabi Ahi Nazareth,2,2,D,,,
ISR,2010-04-17,17:00,Hapoel Ramat Gan,Hapoel Ra'anana,0,0,D,,,
ISR,2010-04-17,17:00,Hapoel Petach-Tikva,Hapoel Acre FC,1,2,A,,,
ISR,2010-04-24,17:00,Maccabi Ahi Nazareth,Hapoel Petach-Tikva,3,0,H,,,
ISR,2010-04-24,17:00,Hapoel Ra'anana,Hapoel Acre FC,4,0,H,,,
ISR,2010-04-25,17:30,Hapoel Ramat Gan,Hapoel Haifa,0,1,A,,,
ISR,2010-05-01,17:10,Hapoel Haifa,Hapoel Ra'anana,1,0,H,,,
ISR,2010-05-01,17:10,Hapoel Petach-Tikva,Hapoel Ramat Gan,2,1,H,,,
ISR,2010-05-01,17:10,Hapoel Acre FC,Maccabi Ahi Nazareth,3,1,H,,,
ISR,2010-05-08,13:30,Hapoel Haifa,Hapoel Petach-Tikva,1,2,A,,,
ISR,2010-05-08,13:30,Hapoel Ramat Gan,Hapoel Acre FC,0,0,D,,,
ISR,2010-05-08,13:30,Hapoel Ra'anana,Maccabi Ahi Nazareth,2,0,H,,,
ISR,2010-05-15,15:00,Hapoel Petach-Tikva,Hapoel Ra'anana,0,0,D,,,
ISR,2010-05-15,15:00,Hapoel Acre FC,Hapoel Haifa,1,0,H,,,
ISR,2010-05-15,15:00,Maccabi Ahi Nazareth,Hapoel Ramat Gan,0,7,A,,,
