Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
CZ1,NaN,Sparta Praha,SK Kladno,0,0,D,NoR,NoR,NoR
CZ1,NaN,FK Mladá Boleslav,Sigma Olomouc,2,1,H,NoR,NoR,NoR
CZ1,NaN,Tescoma Zlín,1. FC Slovácko,1,2,A,NoR,NoR,NoR
CZ1,NaN,FK Jablonec,FK SIAD Most,2,2,D,NoR,NoR,NoR
CZ1,NaN,FK Marila Pribram,Viktoria Plzeň,1,1,D,NoR,NoR,NoR
CZ1,NaN,FK Teplice,1. FC Brno,0,0,D,NoR,NoR,NoR
CZ1,NaN,České Budějovice,Slovan Liberec,0,2,A,NoR,NoR,NoR
CZ1,NaN,Baník Ostrava,Slavia Praha,0,2,A,NoR,NoR,NoR
CZ1,NaN,Slovan Liberec,Baník Ostrava,2,0,H,NoR,NoR,NoR
CZ1,NaN,1. FC Slovácko,FK Mladá Boleslav,0,2,A,NoR,NoR,NoR
CZ1,NaN,Sigma Olomouc,České Budějovice,0,0,D,NoR,NoR,NoR
CZ1,NaN,1. FC Brno,Tescoma Zlín,1,0,H,NoR,NoR,NoR
CZ1,NaN,FK SIAD Most,FK Marila Pribram,1,1,D,NoR,NoR,NoR
CZ1,NaN,SK Kladno,FK Jablonec,0,1,A,NoR,NoR,NoR
CZ1,NaN,Slavia Praha,FK Teplice,3,2,H,NoR,NoR,NoR
CZ1,NaN,Viktoria Plzeň,Sparta Praha,0,1,A,NoR,NoR,NoR
CZ1,NaN,FK Jablonec,Sparta Praha,0,0,D,NoR,NoR,NoR
CZ1,NaN,Tescoma Zlín,FK SIAD Most,2,1,H,NoR,NoR,NoR
CZ1,NaN,Baník Ostrava,Sigma Olomouc,3,1,H,NoR,NoR,NoR
CZ1,NaN,FK Mladá Boleslav,Viktoria Plzeň,0,0,D,NoR,NoR,NoR
CZ1,NaN,FK Teplice,1. FC Slovácko,3,2,H,NoR,NoR,NoR
CZ1,NaN,České Budějovice,1. FC Brno,0,0,D,NoR,NoR,NoR
CZ1,NaN,Slavia Praha,Slovan Liberec,0,2,A,NoR,NoR,NoR
CZ1,NaN,FK Marila Pribram,SK Kladno,1,0,H,NoR,NoR,NoR
CZ1,NaN,FK Jablonec,FK Mladá Boleslav,0,2,A,NoR,NoR,NoR
CZ1,NaN,Sparta Praha,FK Marila Pribram,2,1,H,NoR,NoR,NoR
CZ1,NaN,Sigma Olomouc,Slovan Liberec,0,1,A,NoR,NoR,NoR
CZ1,NaN,FK SIAD Most,České Budějovice,1,2,A,NoR,NoR,NoR
CZ1,NaN,Viktoria Plzeň,FK Teplice,2,0,H,NoR,NoR,NoR
CZ1,NaN,SK Kladno,Tescoma Zlín,0,0,D,NoR,NoR,NoR
CZ1,NaN,1. FC Brno,Slavia Praha,1,0,H,NoR,NoR,NoR
CZ1,NaN,1. FC Slovácko,Baník Ostrava,1,2,A,NoR,NoR,NoR
CZ1,NaN,Baník Ostrava,SK Kladno,5,1,H,NoR,NoR,NoR
CZ1,NaN,Slovan Liberec,1. FC Brno,0,0,D,NoR,NoR,NoR
CZ1,NaN,FK Marila Pribram,FK Jablonec,0,1,A,NoR,NoR,NoR
CZ1,NaN,České Budějovice,1. FC Slovácko,1,0,H,NoR,NoR,NoR
CZ1,NaN,Slavia Praha,Sigma Olomouc,3,0,H,NoR,NoR,NoR
CZ1,NaN,Tescoma Zlín,Viktoria Plzeň,1,2,A,NoR,NoR,NoR
CZ1,NaN,FK Mladá Boleslav,Sparta Praha,3,0,H,NoR,NoR,NoR
CZ1,NaN,FK Teplice,FK SIAD Most,2,2,D,NoR,NoR,NoR
CZ1,NaN,Sparta Praha,Tescoma Zlín,2,0,H,NoR,NoR,NoR
CZ1,NaN,FK Jablonec,FK Teplice,2,1,H,NoR,NoR,NoR
CZ1,NaN,FK Marila Pribram,FK Mladá Boleslav,1,2,A,NoR,NoR,NoR
CZ1,NaN,FK SIAD Most,Slavia Praha,2,0,H,NoR,NoR,NoR
CZ1,NaN,Viktoria Plzeň,Sigma Olomouc,2,0,H,NoR,NoR,NoR
CZ1,NaN,SK Kladno,České Budějovice,2,1,H,NoR,NoR,NoR
CZ1,NaN,1. FC Slovácko,Slovan Liberec,0,1,A,NoR,NoR,NoR
CZ1,NaN,1. FC Brno,Baník Ostrava,2,1,H,NoR,NoR,NoR
CZ1,NaN,Tescoma Zlín,FK Marila Pribram,1,0,H,NoR,NoR,NoR
CZ1,NaN,Baník Ostrava,Viktoria Plzeň,1,1,D,NoR,NoR,NoR
